Team,Year,Wins,Losses
Los Angeles Dodgers,2016,91,71
Miami Marlins,2016,104,58
Milwaukee Brewers,2016,97,65
Minnesota Twins,2016,68,94
New York Mets,2016,46,116
New York Yankees,2016,109,53
Oakland Athletics,2016,110,52
Philadelphia Phillies,2016,71,91
Pittsburgh Pirates,2016,86,76
San Diego Padres,2016,66,96
San Francisco Giants,2016,62,100
Seattle Mariners,2016,93,69
St. Louis Cardinals,2016,79,83
Tampa Bay Rays,2016,67,95
Texas Rangers,2016,97,65
Toronto Blue Jays,2016,86,76
Washington Nationals,2016,100,62
Arizona Diamondbacks,2017,74,88
Atlanta Braves,2017,57,105
Baltimore Orioles,2017,110,52
Boston Red Sox,2017,94,68
Chicago Cubs,2017,94,68
Chicago White Sox,2017,68,94
Cincinnati Reds,2017,73,89
Cleveland Indians,2017,73,89
Colorado Rockies,2017,111,51
Detroit Tigers,2017,64,98
Houston Astros,2017,63,99
Kansas City Royals,2017,74,88
Los Angeles Angels,2017,87,75
Los Angeles Dodgers,2017,94,68
Miami Marlins,2017,87,75
Milwaukee Brewers,2017,90,72
Minnesota Twins,2017,68,94
New York Mets,2017,44,118
New York Yankees,2017,130,32
Oakland Athletics,2017,99,63
Philadelphia Phillies,2017,60,102
Pittsburgh Pirates,2017,104,58
San Diego Padres,2017,60,102
San Francisco Giants,2017,66,96
Seattle Mariners,2017,89,73
St. Louis Cardinals,2017,74,88
Tampa Bay Rays,2017,56,106
Texas Rangers,2017,79,83
Toronto Blue Jays,2017,86,76
Washington Nationals,2017,102,60
Arizona Diamondbacks,2018,74,88
Atlanta Braves,2018,52,110
Baltimore Orioles,2018,117,45
Boston Red Sox,2018,96,66
Chicago Cubs,2018,107,55
Chicago White Sox,2018,85,77
Cincinnati Reds,2018,71,91
Cleveland Indians,2018,81,81
Colorado Rockies,2018,97,65
Detroit Tigers,2018,81,81
Houston Astros,2018,54,108
Kansas City Royals,2018,61,101
Los Angeles Angels,2018,98,64
Los Angeles Dodgers,2018,93,69
Miami Marlins,2018,97,65
Milwaukee Brewers,2018,113,49
Minnesota Twins,2018,66,96
New York Mets,2018,49,113
New York Yankees,2018,113,49
Oakland Athletics,2018,90,72
Philadelphia Phillies,2018,49,113
Pittsburgh Pirates,2018,86,76
San Diego Padres,2018,70,92
San Francisco Giants,2018,64,98
Seattle Mariners,2018,101,61
St. Louis Cardinals,2018,53,109
Tampa Bay Rays,2018,58,104
Texas Rangers,2018,66,96
Toronto Blue Jays,2018,83,79
Washington Nationals,2018,105,57
Arizona Diamondbacks,2019,80,82
Atlanta Braves,2019,57,105
Baltimore Orioles,2019,87,75
Boston Red Sox,2019,103,59
Chicago Cubs,2019,103,59
Chicago White Sox,2019,75,87
Cincinnati Reds,2019,90,72
Cleveland Indians,2019,96,66
Colorado Rockies,2019,104,58
Detroit Tigers,2019,67,95
Houston Astros,2019,79,83
Kansas City Royals,2019,67,95
Los Angeles Angels,2019,101,61
Los Angeles Dodgers,2019,93,69
Miami Marlins,2019,109,53
Milwaukee Brewers,2019,116,46
Minnesota Twins,2019,85,77
New York Mets,2019,44,118
New York Yankees,2019,133,29
Oakland Athletics,2019,63,99
Philadelphia Phillies,2019,52,110
Pittsburgh Pirates,2019,79,83
San Diego Padres,2019,75,87
San Francisco Giants,2019,51,111
Seattle Mariners,2019,79,83
St. Louis Cardinals,2019,57,105
Tampa Bay Rays,2019,50,112
Texas Rangers,2019,64,98
Toronto Blue Jays,2019,77,85
Washington Nationals,2019,94,68
Arizona Diamondbacks,2020,90,72
Atlanta Braves,2020,84,78
Baltimore Orioles,2020,108,54
Boston Red Sox,2020,111,51
Chicago Cubs,2020,87,75
Chicago White Sox,2020,90,72
Cincinnati Reds,2020,103,59
Cleveland Indians,2020,90,72
Colorado Rockies,2020,58,104
Detroit Tigers,2020,85,77
Houston Astros,2020,91,71
Kansas City Royals,2020,73,89
Los Angeles Angels,2020,99,63
Los Angeles Dodgers,2020,87,75
Miami Marlins,2020,94,68
Milwaukee Brewers,2020,99,63
Minnesota Twins,2020,86,76
New York Mets,2020,48,114
New York Yankees,2020,114,48
Oakland Athletics,2020,66,96
Philadelphia Phillies,2020,53,109
Pittsburgh Pirates,2020,80,82
San Diego Padres,2020,84,78
San Francisco Giants,2020,45,117
Seattle Mariners,2020,71,91
St. Louis Cardinals,2020,48,114
Tampa Bay Rays,2020,41,121
Texas Rangers,2020,60,102
Toronto Blue Jays,2020,86,76
Washington Nationals,2020,99,63
Arizona Diamondbacks,2021,95,67
Atlanta Braves,2021,100,62
Baltimore Orioles,2021,106,56
Boston Red Sox,2021,119,43
Chicago Cubs,2021,94,68
Chicago White Sox,2021,98,64
Cincinnati Reds,2021,83,79
Cleveland Indians,2021,88,74
Colorado Rockies,2021,34,128
Detroit Tigers,2021,74,88
Houston Astros,2021,90,72
Kansas City Royals,2021,71,91
Los Angeles Angels,2021,86,76
Los Angeles Dodgers,2021,82,80
Miami Marlins,2021,100,62
Milwaukee Brewers,2021,105,57
Minnesota Twins,2021,75,87
New York Mets,2021,56,106
New York Yankees,2021,117,45
Oakland Athletics,2021,67,95
Philadelphia Phillies,2021,55,107
Pittsburgh Pirates,2021,71,91
San Diego Padres,2021,99,63
San Francisco Giants,2021,52,110
Seattle Mariners,2021,56,106
St. Louis Cardinals,2021,59,103
Tampa Bay Rays,2021,52,110
Texas Rangers,2021,78,84
Toronto Blue Jays,2021,105,57
Washington Nationals,2021,63,99
Arizona Diamondbacks,2022,105,57
Atlanta Braves,2022,100,62
Baltimore Orioles,2022,100,62
Boston Red Sox,2022,118,44
Chicago Cubs,2022,112,50
Chicago White Sox,2022,83,79
Cincinnati Reds,2022,82,80
Cleveland Indians,2022,81,81
Colorado Rockies,2022,37,125
Detroit Tigers,2022,95,67
Houston Astros,2022,79,83
Kansas City Royals,2022,94,68
Los Angeles Angels,2022,80,82
Los Angeles Dodgers,2022,72,90
Miami Marlins,2022,103,59
Milwaukee Brewers,2022,103,59
Minnesota Twins,2022,79,83
New York Mets,2022,58,104
New York Yankees,2022,98,64
Oakland Athletics,2022,72,90
Philadelphia Phillies,2022,40,122
Pittsburgh Pirates,2022,80,82
San Diego Padres,2022,85,77
San Francisco Giants,2022,46,116
Seattle Mariners,2022,82,80
St. Louis Cardinals,2022,63,99
Tampa Bay Rays,2022,56,106
Texas Rangers,2022,59,103
Toronto Blue Jays,2022,100,62
Washington Nationals,2022,68,94
Arizona Diamondbacks,2023,113,49
Atlanta Braves,2023,100,62
Baltimore Orioles,2023,94,68
Boston Red Sox,2023,109,53
Chicago Cubs,2023,101,61
Chicago White Sox,2023,102,60
Cincinnati Reds,2023,76,86
Cleveland Indians,2023,43,119
Colorado Rockies,2023,46,116
Detroit Tigers,2023,99,63
Houston Astros,2023,89,73
Kansas City Royals,2023,111,51
Los Angeles Angels,2023,86,76
Los Angeles Dodgers,2023,77,85
Miami Marlins,2023,61,101
Milwaukee Brewers,2023,92,70
Minnesota Twins,2023,71,91
New York Mets,2023,73,89
New York Yankees,2023,113,49
Oakland Athletics,2023,78,84
Philadelphia Phillies,2023,47,115
Pittsburgh Pirates,2023,73,89
San Diego Padres,2023,93,69
San Francisco Giants,2023,56,106
Seattle Mariners,2023,62,100
St. Louis Cardinals,2023,60,102
Tampa Bay Rays,2023,68,94
Texas Rangers,2023,64,98
Toronto Blue Jays,2023,95,67
Washington Nationals,2023,78,84
