Year,day,home_team_name,away_team_name
2019,7,Orioles,Braves
2019,8,Red Sox,Nationals
2019,8,Rockies,Padres
2019,8,Braves,Yankees
2019,8,Indians,White Sox
2019,8,Giants,Royals
2019,8,Pirates,Angels
2019,8,Phillies,Rangers
2019,8,Cubs,Mets
2019,8,Diamondbacks,Cardinals
2019,8,Dodgers,Twins
2019,8,Mariners,Rays
2019,8,Blue Jays,Athletics
2019,8,Tigers,Astros
2019,8,Brewers,Reds
2019,8,Orioles,Marlins
2019,9,Mets,Nationals
2019,9,Tigers,Giants
2019,9,Phillies,Rangers
2019,9,Mariners,Marlins
2019,9,Dodgers,Braves
2019,9,Cardinals,Royals
2019,9,Indians,Angels
2019,9,Rockies,Yankees
2019,9,Twins,Blue Jays
2019,9,Brewers,Padres
2019,9,Rays,Reds
2019,9,White Sox,Diamondbacks
2019,9,Pirates,Athletics
2019,9,Orioles,Astros
2019,9,Red Sox,Cubs
2019,10,Padres,Rangers
2019,10,Orioles,Athletics
2019,10,Royals,Cardinals
2019,10,Yankees,Tigers
2019,10,Rays,Diamondbacks
2019,10,Blue Jays,Nationals
2019,10,White Sox,Astros
2019,10,Mariners,Twins
2019,10,Cubs,Giants
2019,10,Indians,Brewers
2019,10,Marlins,Phillies
2019,10,Dodgers,Rockies
2019,10,Reds,Angels
2019,10,Mets,Braves
2019,10,Pirates,Red Sox
2019,11,Rangers,Athletics
2019,11,Reds,Mets
2019,11,Blue Jays,Marlins
2019,11,White Sox,Phillies
2019,11,Royals,Angels
2019,11,Cardinals,Indians
2019,11,Astros,Cubs
2019,11,Braves,Twins
2019,11,Red Sox,Mariners
2019,11,Yankees,Padres
2019,11,Pirates,Tigers
2019,11,Giants,Brewers
2019,11,Nationals,Orioles
2019,11,Diamondbacks,Rays
2019,11,Rockies,Dodgers
2019,12,Braves,Cubs
2019,12,Athletics,Twins
2019,12,Red Sox,Tigers
2019,12,Marlins,Brewers
2019,12,Padres,Astros
2019,12,Phillies,Indians
2019,12,Rockies,Diamondbacks
2019,12,Mets,Pirates
2019,12,Yankees,Giants
2019,12,Rangers,Angels
2019,12,White Sox,Mariners
2019,12,Cardinals,Reds
2019,12,Rays,Orioles
2019,12,Blue Jays,Dodgers
2019,12,Royals,Nationals
2019,13,Mariners,Reds
2019,13,Orioles,Giants
2019,13,Phillies,Cubs
2019,13,White Sox,Cardinals
2019,13,Rockies,Athletics
2019,13,Indians,Diamondbacks
2019,13,Mets,Pirates
2019,13,Rays,Nationals
2019,13,Blue Jays,Twins
2019,13,Padres,Braves
2019,13,Tigers,Red Sox
2019,13,Yankees,Astros
2019,13,Brewers,Dodgers
2019,13,Marlins,Angels
2019,13,Royals,Rangers
2019,14,Rays,Braves
2019,14,Nationals,White Sox
2019,14,Cubs,Cardinals
2019,14,Athletics,Dodgers
2019,14,Mariners,Astros
2019,14,Tigers,Phillies
2019,14,Rangers,Giants
2019,14,Rockies,Padres
2019,14,Mets,Marlins
2019,14,Pirates,Royals
2019,14,Diamondbacks,Orioles
2019,14,Brewers,Twins
2019,14,Indians,Reds
2019,14,Yankees,Blue Jays
2019,14,Angels,Red Sox
2019,15,Braves,Athletics
2019,15,Diamondbacks,Cardinals
2019,15,Mets,Red Sox
2019,15,Indians,Brewers
2019,15,Mariners,Rangers
2019,15,Cubs,Marlins
2019,15,Rockies,Yankees
2019,15,Orioles,Rays
2019,15,Phillies,Tigers
2019,15,Dodgers,Astros
2019,15,Padres,Angels
2019,15,Nationals,Royals
2019,15,Twins,Reds
2019,15,Blue Jays,Giants
2019,15,White Sox,Pirates
2019,16,Dodgers,Athletics
2019,16,Phillies,Cardinals
2019,16,Brewers,Blue Jays
2019,16,Orioles,Rockies
2019,16,Royals,Cubs
2019,16,Mariners,Yankees
2019,16,Diamondbacks,Reds
2019,16,Mets,White Sox
2019,16,Tigers,Red Sox
2019,16,Angels,Twins
2019,16,Nationals,Giants
2019,16,Rangers,Rays
2019,16,Braves,Pirates
2019,16,Astros,Marlins
2019,16,Indians,Padres
2019,17,Indians,Pirates
2019,17,Padres,Diamondbacks
2019,17,Marlins,Giants
2019,17,Blue Jays,Orioles
2019,17,Braves,Rangers
2019,17,Yankees,Nationals
2019,17,White Sox,Red Sox
2019,17,Mariners,Reds
2019,17,Rays,Twins
2019,17,Mets,Dodgers
2019,17,Rockies,Royals
2019,17,Cardinals,Tigers
2019,17,Angels,Cubs
2019,17,Phillies,Brewers
2019,17,Athletics,Astros
2019,18,Orioles,Marlins
2019,18,Mariners,Cardinals
2019,18,Padres,Athletics
2019,18,Red Sox,Dodgers
2019,18,Yankees,Mets
2019,18,Blue Jays,Brewers
2019,18,Angels,Reds
2019,18,Rangers,Phillies
2019,18,Diamondbacks,Cubs
2019,18,Rays,Astros
2019,18,Pirates,Braves
2019,18,White Sox,Nationals
2019,18,Tigers,Rockies
2019,18,Giants,Indians
2019,18,Royals,Twins
2019,19,Pirates,Red Sox
2019,19,Rangers,Marlins
2019,19,Rays,Phillies
2019,19,Diamondbacks,Orioles
2019,19,White Sox,Rockies
2019,19,Yankees,Blue Jays
2019,19,Angels,Dodgers
2019,19,Nationals,Giants
2019,19,Cardinals,Twins
2019,19,Braves,Mariners
2019,19,Cubs,Reds
2019,19,Royals,Indians
2019,19,Astros,Athletics
2019,19,Tigers,Padres
2019,19,Brewers,Mets
2019,20,Angels,Astros
2019,20,Cubs,Reds
2019,20,Braves,Diamondbacks
2019,20,Mariners,Nationals
2019,20,Yankees,Dodgers
2019,20,Red Sox,Twins
2019,20,Blue Jays,Athletics
2019,20,Indians,Cardinals
2019,20,White Sox,Orioles
2019,20,Tigers,Rangers
2019,20,Brewers,Rockies
2019,20,Padres,Phillies
2019,20,Giants,Rays
2019,20,Pirates,Mets
2019,20,Marlins,Royals
2019,21,Angels,Reds
2019,21,Phillies,Pirates
2019,21,Indians,Astros
2019,21,Rangers,Mariners
2019,21,Orioles,Royals
2019,21,Cubs,Yankees
2019,21,Giants,Tigers
2019,21,Diamondbacks,Dodgers
2019,21,Brewers,Marlins
2019,21,Rays,Red Sox
2019,21,Braves,Athletics
2019,21,Blue Jays,Padres
2019,21,Mets,Rockies
2019,21,Nationals,Cardinals
2019,21,Twins,White Sox
2019,22,Rangers,Athletics
2019,22,Tigers,Yankees
2019,22,Indians,Diamondbacks
2019,22,Padres,Orioles
2019,22,Dodgers,Red Sox
2019,22,Nationals,Cubs
2019,22,White Sox,Brewers
2019,22,Reds,Blue Jays
2019,22,Mets,Angels
2019,22,Marlins,Pirates
2019,22,Braves,Cardinals
2019,22,Mariners,Rockies
2019,22,Phillies,Astros
2019,22,Royals,Rays
2019,22,Giants,Twins
2019,23,Brewers,Indians
2019,23,Phillies,Cardinals
2019,23,Astros,Braves
2019,23,Rockies,Marlins
2019,23,Angels,Yankees
2019,23,Dodgers,Giants
2019,23,Blue Jays,Royals
2019,23,Mariners,Diamondbacks
2019,23,Orioles,Reds
2019,23,Athletics,Cubs
2019,23,Nationals,Rangers
2019,23,Twins,Padres
2019,23,White Sox,Red Sox
2019,23,Mets,Rays
2019,23,Tigers,Pirates
2019,24,Pirates,Nationals
2019,24,Rangers,Athletics
2019,24,Tigers,Brewers
2019,24,Blue Jays,Rays
2019,24,White Sox,Yankees
2019,24,Twins,Marlins
2019,24,Mariners,Orioles
2019,24,Dodgers,Angels
2019,24,Royals,Rockies
2019,24,Cardinals,Mets
2019,24,Reds,Cubs
2019,24,Diamondbacks,Padres
2019,24,Red Sox,Indians
2019,24,Giants,Astros
2019,24,Phillies,Braves
2019,25,Reds,Dodgers
2019,25,Brewers,Indians
2019,25,Cubs,Padres
2019,25,Astros,Royals
2019,25,White Sox,Blue Jays
2019,25,Marlins,Diamondbacks
2019,25,Mariners,Twins
2019,25,Red Sox,Angels
2019,25,Phillies,Tigers
2019,25,Rays,Giants
2019,25,Rangers,Cardinals
2019,25,Pirates,Mets
2019,25,Yankees,Athletics
2019,25,Braves,Orioles
2019,25,Nationals,Rockies
2019,26,Rays,Cubs
2019,26,Braves,Red Sox
2019,26,Brewers,Twins
2019,26,Rangers,Mariners
2019,26,Cardinals,Reds
2019,26,Diamondbacks,Angels
2019,26,Mets,Marlins
2019,26,Tigers,Yankees
2019,26,Athletics,Pirates
2019,26,Padres,Giants
2019,26,Indians,Astros
2019,26,Blue Jays,Dodgers
2019,26,Rockies,White Sox
2019,26,Nationals,Royals
2019,26,Phillies,Orioles
2019,27,Indians,Phillies
2019,27,Rays,Nationals
2019,27,Pirates,Dodgers
2019,27,Orioles,Reds
2019,27,Red Sox,Padres
2019,27,Rockies,Royals
2019,27,Rangers,Athletics
2019,27,Angels,Mets
2019,27,Cubs,Blue Jays
2019,27,Braves,Cardinals
2019,27,Mariners,Astros
2019,27,Marlins,Tigers
2019,27,White Sox,Diamondbacks
2019,27,Twins,Yankees
2019,27,Brewers,Giants
2019,28,Rockies,Twins
2019,28,Angels,Giants
2019,28,Red Sox,Indians
2019,28,Rays,Royals
2019,28,Padres,Mets
2019,28,Phillies,Diamondbacks
2019,28,White Sox,Astros
2019,28,Tigers,Reds
2019,28,Dodgers,Orioles
2019,28,Marlins,Blue Jays
2019,28,Pirates,Cardinals
2019,28,Athletics,Rangers
2019,28,Cubs,Braves
2019,28,Mariners,Brewers
2019,28,Nationals,Yankees
2019,29,Red Sox,Phillies
2019,29,White Sox,Cardinals
2019,29,Mets,Padres
2019,29,Athletics,Cubs
2019,29,Marlins,Diamondbacks
2019,29,Angels,Tigers
2019,29,Indians,Reds
2019,29,Twins,Giants
2019,29,Royals,Rays
2019,29,Astros,Rangers
2019,29,Orioles,Pirates
2019,29,Yankees,Mariners
2019,29,Blue Jays,Nationals
2019,29,Brewers,Braves
2019,29,Dodgers,Rockies
2019,30,Orioles,Reds
2019,30,Braves,Rockies
2019,30,Cardinals,Cubs
2019,30,Mets,Padres
2019,30,Tigers,Nationals
2019,30,Phillies,Dodgers
2019,30,Astros,Giants
2019,30,Mariners,White Sox
2019,30,Diamondbacks,Marlins
2019,30,Angels,Brewers
2019,30,Athletics,Indians
2019,30,Royals,Twins
2019,30,Rangers,Pirates
2019,30,Blue Jays,Red Sox
2019,30,Yankees,Rays
2019,31,Blue Jays,Giants
2019,31,Athletics,Nationals
2019,31,Red Sox,Dodgers
2019,31,White Sox,Twins
2019,31,Orioles,Brewers
2019,31,Marlins,Phillies
2019,31,Mariners,Angels
2019,31,Astros,Cardinals
2019,31,Indians,Diamondbacks
2019,31,Padres,Mets
2019,31,Pirates,Tigers
2019,31,Rockies,Rays
2019,31,Yankees,Royals
2019,31,Reds,Cubs
2019,31,Braves,Rangers
2019,32,Braves,Phillies
2019,32,Mariners,Reds
2019,32,Rockies,Rays
2019,32,Red Sox,Astros
2019,32,Padres,Dodgers
2019,32,Twins,Giants
2019,32,Pirates,Orioles
2019,32,Mets,White Sox
2019,32,Yankees,Tigers
2019,32,Indians,Cubs
2019,32,Brewers,Cardinals
2019,32,Athletics,Marlins
2019,32,Diamondbacks,Nationals
2019,32,Royals,Rangers
2019,32,Angels,Blue Jays
2019,33,Astros,White Sox
2019,33,Giants,Orioles
2019,33,Nationals,Indians
2019,33,Diamondbacks,Tigers
2019,33,Braves,Royals
2019,33,Mets,Mariners
2019,33,Angels,Brewers
2019,33,Marlins,Pirates
2019,33,Blue Jays,Rays
2019,33,Cubs,Twins
2019,33,Athletics,Yankees
2019,33,Red Sox,Rockies
2019,33,Padres,Rangers
2019,33,Cardinals,Phillies
2019,33,Reds,Dodgers
2019,34,Brewers,Twins
2019,34,Reds,Giants
2019,34,Pirates,Red Sox
2019,34,Mariners,Angels
2019,34,Phillies,Braves
2019,34,Orioles,Cubs
2019,34,Athletics,Cardinals
2019,34,Mets,Nationals
2019,34,Tigers,Astros
2019,34,Rays,Marlins
2019,34,White Sox,Rangers
2019,34,Rockies,Indians
2019,34,Dodgers,Yankees
2019,34,Padres,Diamondbacks
2019,34,Blue Jays,Royals
2019,35,Royals,Blue Jays
2019,35,Phillies,Padres
2019,35,Cubs,Mariners
2019,35,Rockies,Braves
2019,35,Reds,Twins
2019,35,Astros,Cardinals
2019,35,Rays,Red Sox
2019,35,Yankees,Indians
2019,35,Mets,Marlins
2019,35,White Sox,Angels
2019,35,Diamondbacks,Pirates
2019,35,Athletics,Brewers
2019,35,Tigers,Dodgers
2019,35,Rangers,Nationals
2019,35,Giants,Orioles
2019,36,Rays,Twins
2019,36,Tigers,Braves
2019,36,Blue Jays,Indians
2019,36,Cubs,Mariners
2019,36,Yankees,Brewers
2019,36,Dodgers,Nationals
2019,36,Red Sox,Royals
2019,36,Rockies,Angels
2019,36,Diamondbacks,Orioles
2019,36,White Sox,Astros
2019,36,Cardinals,Padres
2019,36,Marlins,Athletics
2019,36,Rangers,Mets
2019,36,Giants,Pirates
2019,36,Phillies,Reds
2019,37,Red Sox,Yankees
2019,37,Rockies,Mariners
2019,37,Indians,Phillies
2019,37,Rays,Cardinals
2019,37,Dodgers,Tigers
2019,37,Marlins,Twins
2019,37,Diamondbacks,Pirates
2019,37,Royals,Reds
2019,37,Rangers,Cubs
2019,37,Mets,Padres
2019,37,Nationals,White Sox
2019,37,Blue Jays,Braves
2019,37,Astros,Giants
2019,37,Orioles,Angels
2019,37,Brewers,Athletics
2019,38,Angels,Twins
2019,38,Giants,Yankees
2019,38,Tigers,Mariners
2019,38,Astros,Cardinals
2019,38,Dodgers,Brewers
2019,38,Reds,Rockies
2019,38,Nationals,Mets
2019,38,Orioles,Athletics
2019,38,White Sox,Rangers
2019,38,Phillies,Rays
2019,38,Pirates,Marlins
2019,38,Indians,Red Sox
2019,38,Cubs,Blue Jays
2019,38,Royals,Padres
2019,38,Diamondbacks,Braves
2019,39,Phillies,Rangers
2019,39,Indians,Dodgers
2019,39,White Sox,Diamondbacks
2019,39,Rockies,Royals
2019,39,Marlins,Braves
2019,39,Angels,Brewers
2019,39,Cubs,Cardinals
2019,39,Orioles,Twins
2019,39,Blue Jays,Giants
2019,39,Mariners,Rays
2019,39,Nationals,Mets
2019,39,Athletics,Yankees
2019,39,Tigers,Padres
2019,39,Reds,Astros
2019,39,Red Sox,Pirates
2019,40,Astros,Phillies
2019,40,Marlins,Pirates
2019,40,Diamondbacks,Royals
2019,40,Reds,Braves
2019,40,Nationals,Athletics
2019,40,White Sox,Indians
2019,40,Twins,Giants
2019,40,Tigers,Brewers
2019,40,Cubs,Angels
2019,40,Mets,Rockies
2019,40,Orioles,Blue Jays
2019,40,Dodgers,Red Sox
2019,40,Padres,Mariners
2019,40,Rangers,Yankees
2019,40,Rays,Cardinals
2019,41,Reds,Twins
2019,41,Royals,Mariners
2019,41,Rockies,Orioles
2019,41,Yankees,Cardinals
2019,41,Angels,Rangers
2019,41,Tigers,Cubs
2019,41,Brewers,Padres
2019,41,Marlins,Nationals
2019,41,Indians,Blue Jays
2019,41,Dodgers,Astros
2019,41,Phillies,Mets
2019,41,Braves,Athletics
2019,41,Pirates,Diamondbacks
2019,41,Giants,Red Sox
2019,41,White Sox,Rays
2019,42,White Sox,Mets
2019,42,Orioles,Rockies
2019,42,Blue Jays,Angels
2019,42,Royals,Padres
2019,42,Astros,Dodgers
2019,42,Yankees,Diamondbacks
2019,42,Brewers,Twins
2019,42,Pirates,Cardinals
2019,42,Reds,Nationals
2019,42,Indians,Giants
2019,42,Phillies,Athletics
2019,42,Tigers,Rangers
2019,42,Braves,Marlins
2019,42,Rays,Mariners
2019,42,Red Sox,Cubs
2019,43,Cardinals,Nationals
2019,43,Tigers,Orioles
2019,43,Marlins,Dodgers
2019,43,Diamondbacks,Reds
2019,43,Red Sox,Angels
2019,43,White Sox,Cubs
2019,43,Blue Jays,Braves
2019,43,Yankees,Rays
2019,43,Rockies,Mets
2019,43,Royals,Rangers
2019,43,Padres,Twins
2019,43,Athletics,Phillies
2019,43,Giants,Indians
2019,43,Pirates,Astros
2019,43,Brewers,Mariners
2019,44,Brewers,Rays
2019,44,Rockies,Marlins
2019,44,Rangers,Giants
2019,44,Athletics,Padres
2019,44,Phillies,White Sox
2019,44,Red Sox,Cardinals
2019,44,Dodgers,Yankees
2019,44,Cubs,Reds
2019,44,Mets,Angels
2019,44,Pirates,Tigers
2019,44,Blue Jays,Diamondbacks
2019,44,Mariners,Twins
2019,44,Royals,Braves
2019,44,Astros,Orioles
2019,44,Indians,Nationals
2019,45,Pirates,Royals
2019,45,Red Sox,Cubs
2019,45,Astros,Giants
2019,45,Nationals,Padres
2019,45,Mets,Twins
2019,45,Tigers,Blue Jays
2019,45,Phillies,Cardinals
2019,45,Reds,Rangers
2019,45,White Sox,Diamondbacks
2019,45,Rays,Mariners
2019,45,Angels,Orioles
2019,45,Dodgers,Marlins
2019,45,Rockies,Yankees
2019,45,Braves,Indians
2019,45,Brewers,Athletics
2019,46,Angels,Twins
2019,46,Braves,White Sox
2019,46,Royals,Mets
2019,46,Reds,Cardinals
2019,46,Rockies,Blue Jays
2019,46,Phillies,Orioles
2019,46,Marlins,Dodgers
2019,46,Pirates,Cubs
2019,46,Brewers,Mariners
2019,46,Astros,Rays
2019,46,Red Sox,Padres
2019,46,Diamondbacks,Athletics
2019,46,Nationals,Indians
2019,46,Rangers,Giants
2019,46,Tigers,Yankees
2019,47,Marlins,Mets
2019,47,Reds,Blue Jays
2019,47,Padres,Royals
2019,47,Tigers,Angels
2019,47,Cardinals,Phillies
2019,47,Mariners,Giants
2019,47,Diamondbacks,Astros
2019,47,Rockies,Rangers
2019,47,Orioles,Red Sox
2019,47,Brewers,Athletics
2019,47,Rays,Dodgers
2019,47,White Sox,Indians
2019,47,Braves,Yankees
2019,47,Cubs,Pirates
2019,47,Twins,Nationals
2019,48,Marlins,Dodgers
2019,48,Cubs,Royals
2019,48,Twins,Rays
2019,48,Red Sox,Padres
2019,48,Phillies,Mariners
2019,48,Tigers,Rangers
2019,48,Angels,Yankees
2019,48,Giants,Nationals
2019,48,Blue Jays,White Sox
2019,48,Mets,Orioles
2019,48,Reds,Braves
2019,48,Brewers,Cardinals
2019,48,Athletics,Pirates
2019,48,Diamondbacks,Astros
2019,48,Indians,Rockies
2019,49,Orioles,Nationals
2019,49,Astros,Cubs
2019,49,Tigers,Phillies
2019,49,Rangers,Padres
2019,49,Twins,Giants
2019,49,Marlins,Blue Jays
2019,49,Mets,Dodgers
2019,49,Indians,Rays
2019,49,Reds,Pirates
2019,49,Yankees,Brewers
2019,49,Mariners,Red Sox
2019,49,Diamondbacks,Braves
2019,49,Athletics,Angels
2019,49,Royals,Cardinals
2019,49,Rockies,White Sox
2019,50,Rangers,Twins
2019,50,Blue Jays,Cubs
2019,50,Mariners,Nationals
2019,50,Rays,Giants
2019,50,Mets,Diamondbacks
2019,50,Royals,Athletics
2019,50,Indians,Astros
2019,50,Pirates,Dodgers
2019,50,Tigers,Brewers
2019,50,Padres,Orioles
2019,50,Marlins,Phillies
2019,50,Cardinals,Yankees
2019,50,White Sox,Reds
2019,50,Red Sox,Rockies
2019,50,Braves,Angels
2019,51,Brewers,Blue Jays
2019,51,Phillies,Indians
2019,51,Twins,Reds
2019,51,Padres,Dodgers
2019,51,Angels,Rays
2019,51,Rockies,Diamondbacks
2019,51,Braves,Giants
2019,51,Yankees,Nationals
2019,51,Pirates,Orioles
2019,51,Tigers,Astros
2019,51,Royals,Cubs
2019,51,Red Sox,Athletics
2019,51,Cardinals,Mariners
2019,51,White Sox,Mets
2019,51,Marlins,Rangers
2019,52,Red Sox,Indians
2019,52,Pirates,Cubs
2019,52,Rangers,Athletics
2019,52,Rockies,Astros
2019,52,Yankees,Dodgers
2019,52,Twins,White Sox
2019,52,Tigers,Blue Jays
2019,52,Reds,Giants
2019,52,Braves,Cardinals
2019,52,Orioles,Rays
2019,52,Mets,Diamondbacks
2019,52,Phillies,Padres
2019,52,Angels,Marlins
2019,52,Brewers,Nationals
2019,52,Mariners,Royals
2019,53,Giants,Twins
2019,53,Red Sox,Yankees
2019,53,Indians,Royals
2019,53,Diamondbacks,Pirates
2019,53,Dodgers,Athletics
2019,53,Angels,Brewers
2019,53,Cardinals,Mets
2019,53,Rays,Phillies
2019,53,White Sox,Mariners
2019,53,Marlins,Tigers
2019,53,Rangers,Orioles
2019,53,Blue Jays,Astros
2019,53,Cubs,Rockies
2019,53,Reds,Braves
2019,53,Nationals,Padres
2019,54,Indians,Rays
2019,54,Reds,Tigers
2019,54,Padres,Blue Jays
2019,54,Cubs,Rangers
2019,54,Yankees,Rockies
2019,54,Brewers,Athletics
2019,54,Twins,White Sox
2019,54,Braves,Angels
2019,54,Nationals,Mets
2019,54,Royals,Marlins
2019,54,Mariners,Diamondbacks
2019,54,Orioles,Cardinals
2019,54,Phillies,Astros
2019,54,Dodgers,Red Sox
2019,54,Giants,Pirates
2019,55,Marlins,Brewers
2019,55,Padres,Royals
2019,55,Mets,Diamondbacks
2019,55,Braves,Tigers
2019,55,Orioles,Dodgers
2019,55,Rockies,Twins
2019,55,Giants,Rangers
2019,55,Athletics,Astros
2019,55,Cardinals,Pirates
2019,55,Rays,Indians
2019,55,Nationals,Yankees
2019,55,Phillies,Blue Jays
2019,55,Mariners,Reds
2019,55,Cubs,White Sox
2019,55,Red Sox,Angels
2019,56,Braves,Tigers
2019,56,Rangers,Astros
2019,56,Mets,Nationals
2019,56,Brewers,Rays
2019,56,Twins,Giants
2019,56,Dodgers,Phillies
2019,56,Orioles,Reds
2019,56,Cubs,Angels
2019,56,Athletics,Pirates
2019,56,Padres,Marlins
2019,56,Yankees,White Sox
2019,56,Diamondbacks,Indians
2019,56,Blue Jays,Red Sox
2019,56,Mariners,Royals
2019,56,Rockies,Cardinals
2019,57,Red Sox,Padres
2019,57,Twins,Nationals
2019,57,Giants,Rockies
2019,57,Indians,Mariners
2019,57,Yankees,Angels
2019,57,Reds,Brewers
2019,57,Tigers,Dodgers
2019,57,Rays,Phillies
2019,57,Diamondbacks,Pirates
2019,57,Astros,White Sox
2019,57,Marlins,Blue Jays
2019,57,Cardinals,Braves
2019,57,Rangers,Orioles
2019,57,Mets,Royals
2019,57,Athletics,Cubs
2019,58,White Sox,Brewers
2019,58,Dodgers,Reds
2019,58,Twins,Rays
2019,58,Nationals,Padres
2019,58,Mets,Indians
2019,58,Astros,Athletics
2019,58,Red Sox,Braves
2019,58,Phillies,Blue Jays
2019,58,Pirates,Angels
2019,58,Cardinals,Orioles
2019,58,Rangers,Rockies
2019,58,Diamondbacks,Royals
2019,58,Cubs,Tigers
2019,58,Marlins,Giants
2019,58,Yankees,Mariners
2019,59,Braves,Rangers
2019,59,Marlins,Blue Jays
2019,59,Reds,Astros
2019,59,Tigers,Giants
2019,59,White Sox,Royals
2019,59,Phillies,Mariners
2019,59,Padres,Red Sox
2019,59,Diamondbacks,Rays
2019,59,Twins,Brewers
2019,59,Nationals,Pirates
2019,59,Cubs,Orioles
2019,59,Angels,Yankees
2019,59,Mets,Dodgers
2019,59,Cardinals,Rockies
2019,59,Athletics,Indians
2019,60,Red Sox,Blue Jays
2019,60,Athletics,Rays
2019,60,Royals,Orioles
2019,60,Pirates,Mariners
2019,60,Tigers,Yankees
2019,60,Diamondbacks,Rockies
2019,60,Marlins,Rangers
2019,60,Phillies,Cardinals
2019,60,Padres,Twins
2019,60,Dodgers,Indians
2019,60,Cubs,Braves
2019,60,Angels,Astros
2019,60,Giants,White Sox
2019,60,Reds,Mets
2019,60,Brewers,Nationals
2019,61,Mets,White Sox
2019,61,Reds,Blue Jays
2019,61,Rays,Phillies
2019,61,Red Sox,Padres
2019,61,Mariners,Royals
2019,61,Astros,Giants
2019,61,Braves,Athletics
2019,61,Nationals,Pirates
2019,61,Diamondbacks,Twins
2019,61,Indians,Tigers
2019,61,Cubs,Rockies
2019,61,Rangers,Brewers
2019,61,Marlins,Cardinals
2019,61,Angels,Yankees
2019,61,Dodgers,Orioles
2019,62,Rangers,Blue Jays
2019,62,Rockies,Tigers
2019,62,Nationals,Marlins
2019,62,Braves,Twins
2019,62,Phillies,Astros
2019,62,Cardinals,Red Sox
2019,62,White Sox,Giants
2019,62,Brewers,Pirates
2019,62,Cubs,Angels
2019,62,Mets,Athletics
2019,62,Diamondbacks,Padres
2019,62,Orioles,Indians
2019,62,Yankees,Mariners
2019,62,Royals,Reds
2019,62,Rays,Dodgers
2019,63,Twins,Cubs
2019,63,Padres,Braves
2019,63,Rangers,Giants
2019,63,Rockies,Reds
2019,63,Dodgers,Royals
2019,63,Marlins,Yankees
2019,63,White Sox,Diamondbacks
2019,63,Red Sox,Rays
2019,63,Athletics,Pirates
2019,63,Mariners,Brewers
2019,63,Blue Jays,Tigers
2019,63,Astros,Cardinals
2019,63,Indians,Orioles
